Forest,Site,Lng,Lat,Alt,Por,BD,SWC,NWC,SOM,TN,TP,TK,pH,C:N,C:P,N:P
RBS,1,108.0799611,27.07924444,549,57.705292,1.0984,46.10872764,30.79887003,24.68698323,2.853087322,0.310787382,8.073312026,7.32,8.652726132,79.43367291,9.180190347
RBS,1,108.0783917,27.08060556,584,58.5994565,1.0713,48.79218473,32.63206542,18.714022,2.141432166,0.474306509,6.581132453,7.97,8.739021621,39.45554538,4.514869867
RBS,1,108.07815,27.07898333,560,57.86201825,1.09365,70.24458589,30.12251355,15.05786647,1.814991276,0.253638313,7.022876467,7.07,8.296385038,59.36747602,7.155824584
RBS,1,108.0799611,27.07924444,549,58.55491325,1.07265,33.77492533,31.84761738,23.8624038,2.927337713,0.39077169,7.292246521,7.38,8.151571885,61.0648223,7.491171415
RBS,1,108.0783917,27.08060556,584,52.64550875,1.25175,26.81939029,22.52567853,19.23778623,2.219519709,0.509475874,6.145627226,7.97,8.667544674,37.75995531,4.356476572
RBS,1,108.07815,27.07898333,560,49.73864925,1.33985,29.67534487,24.83267719,14.68237055,1.86626899,0.320799947,7.517420905,6.91,7.867231696,45.76799562,5.817547695
DBF,2,108.2750806,27.10811111,890,57.942856,1.0912,49.93269395,39.78133316,34.16189028,3.187790589,0.363382916,2.068723703,7.76,10.71647881,94.01072198,8.772538413
DBF,2,108.1055583,27.10802778,911,60.1106275,1.0255,48.10042498,40.93748134,35.61902394,3.978514813,0.506856118,2.073293173,7.79,8.952844368,70.27442836,7.849396847
DBF,2,108.1085,27.10968056,939,59.308849,1.0498,46.93634744,33.12063693,39.05123255,3.499301443,0.378162708,2.56547381,7.67,11.15972236,103.2656888,9.253428131
DBF,2,108.2750806,27.10811111,890,61.61684925,0.97985,57.40297665,44.75884755,32.28331051,3.69925235,0.495172327,2.64448858,7.94,8.726982496,65.19611203,7.470636278
DBF,2,108.1055583,27.10802778,911,59.1075795,1.0559,43.04359413,29.53064213,34.6594772,3.961774529,0.619632926,2.844382135,7.88,8.748472925,55.93549946,6.393744364
DBF,2,108.1085,27.10968056,939,77.66231775,0.49355,95.3709643,48.78168625,42.5892317,3.400532528,0.438009478,2.101951414,7.86,12.52428299,97.23358468,7.76360489
EBF,3,108.1050194,27.10971944,912,74.74391,0.582,87.33206635,45.45128812,30.69630472,2.55090768,0.417189397,1.315894505,7.7,12.0334832,73.57882281,6.11450746
EBF,3,108.1080167,27.11116111,925,76.8984835,0.5167,88.67552612,37.97632695,28.68352353,2.625047602,0.517260041,2.089623581,7.94,10.92685844,55.45281144,5.07490893
EBF,3,108.1084139,27.10811111,940,67.861153,0.7906,72.70836377,60.27903917,16.55045872,1.575571204,0.644036261,4.610848106,8.02,10.50441813,25.69802311,2.44640139
EBF,3,108.1050194,27.10971944,912,53.53637375,1.22475,28.91317402,14.21757192,17.99265606,1.497723658,0.414595614,2.946249499,7.63,12.01333501,43.39808584,3.612492766
EBF,3,108.1080167,27.11116111,925,54.544371,1.1942,37.70786332,29.08338396,14.51260001,1.454145804,0.563830393,2.268653731,7.8,9.98015465,25.73930068,2.579048279
EBF,3,108.1084139,27.10811111,940,52.10769025,1.26805,31.30565064,21.95503663,14.99432033,1.442076539,0.440599359,2.627902322,7.68,10.3977285,34.0316435,3.272988279
CBF,4,108.115725,27.15113333,991,57.560114,1.1028,36.41983895,35.78844744,68.00717964,4.754351676,0.322462232,3.565221734,6.81,14.3041963,210.8996741,14.7439024
CBF,4,108.1281111,27.16321389,952,63.941347,0.9094,45.45379877,21.22985773,31.34480368,2.386938857,0.161561705,3.581132453,6.93,13.1318,194.0113453,14.77416237
CBF,4,108.1074861,27.10965556,1021,59.110879,1.0558,33.83799503,30.58874056,77.9588944,4.693351157,0.274125404,2.058823529,6.88,16.61049681,284.3913527,17.12118283
CBF,4,108.115725,27.15113333,991,57.065189,1.1178,31.30706255,29.58015908,70.28624192,4.267062362,0.396875125,3.782217782,7.3,16.47181033,177.0991365,10.75164981
CBF,4,108.1281111,27.16321389,952,66.75912,0.824,53.44145143,25.66745741,31.0165934,2.151770189,0.213473809,3.086747951,7.03,14.41445446,145.294608,10.07978543
CBF,4,108.1074861,27.10965556,1021,66.508358,0.8316,73.67293412,31.62834576,76.05336461,2.786054107,0.254328502,2.978217822,7.15,27.29787782,299.0359481,10.95454929
